sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species_name,species,kmeans_cluster,som_cluster,sepal_area,petal_area,sepal_to_petal_ratio
7.2,3.2,6.0,1.8,virginica,2,2,0,23.040000000000003,10.8,2.1333333333333333
6.2,2.8,4.8,1.8,virginica,2,0,0,17.36,8.64,2.009259259259259
6.1,3.0,4.9,1.8,virginica,2,2,0,18.299999999999997,8.82,2.0748299319727885
6.4,2.8,5.6,2.1,virginica,2,2,0,17.919999999999998,11.76,1.5238095238095237
7.2,3.0,5.8,1.6,virginica,2,2,0,21.6,9.28,2.327586206896552
7.4,2.8,6.1,1.9,virginica,2,2,0,20.72,11.589999999999998,1.7877480586712686
7.9,3.8,6.4,2.0,virginica,2,2,0,30.02,12.8,2.3453125
6.4,2.8,5.6,2.2,virginica,2,2,0,17.919999999999998,12.32,1.4545454545454544
6.3,2.8,5.1,1.5,virginica,2,0,0,17.639999999999997,7.6499999999999995,2.3058823529411763
6.1,2.6,5.6,1.4,virginica,2,0,0,15.86,7.839999999999999,2.0229591836734695
7.7,3.0,6.1,2.3,virginica,2,2,0,23.1,14.029999999999998,1.6464718460441914
6.3,3.4,5.6,2.4,virginica,2,2,0,21.419999999999998,13.44,1.59375
6.4,3.1,5.5,1.8,virginica,2,2,0,19.840000000000003,9.9,2.0040404040404045
6.0,3.0,4.8,1.8,virginica,2,0,0,18.0,8.64,2.083333333333333
6.9,3.1,5.4,2.1,virginica,2,2,0,21.39,11.340000000000002,1.886243386243386
6.7,3.1,5.6,2.4,virginica,2,2,0,20.77,13.44,1.5453869047619049
6.9,3.1,5.1,2.3,virginica,2,2,0,21.39,11.729999999999999,1.823529411764706
5.8,2.7,5.1,1.9,virginica,2,0,0,15.66,9.69,1.6160990712074303
6.8,3.2,5.9,2.3,virginica,2,2,0,21.76,13.57,1.6035372144436257
6.7,3.3,5.7,2.5,virginica,2,2,0,22.11,14.25,1.551578947368421
6.7,3.0,5.2,2.3,virginica,2,2,0,20.1,11.959999999999999,1.6806020066889635
6.3,2.5,5.0,1.9,virginica,2,0,0,15.75,9.5,1.6578947368421053
6.5,3.0,5.2,2.0,virginica,2,2,0,19.5,10.4,1.875
6.2,3.4,5.4,2.3,virginica,2,2,0,21.08,12.42,1.6972624798711753
5.9,3.0,5.1,1.8,virginica,2,0,0,17.700000000000003,9.18,1.9281045751633992
